date,cat_id,units_sold
2020-01-01,Category_1,5005
2020-01-01,Category_2,4795
2020-01-01,Category_3,2475
2020-01-01,Category_4,2368
2020-01-01,Category_5,7260
2020-01-01,Category_6,3718
2020-01-01,Category_7,4127
2020-01-01,Category_8,3746
2020-01-02,Category_1,3140
2020-01-02,Category_2,3083
2020-01-02,Category_3,1645
2020-01-02,Category_4,1555
2020-01-02,Category_5,4474
2020-01-02,Category_6,2279
2020-01-02,Category_7,2548
2020-01-02,Category_8,2350
2020-01-03,Category_1,3144
2020-01-03,Category_2,3094
2020-01-03,Category_3,1658
2020-01-03,Category_4,1563
2020-01-03,Category_5,4479
2020-01-03,Category_6,2418
2020-01-03,Category_7,2533
2020-01-03,Category_8,2408
2020-01-04,Category_1,4326
2020-01-04,Category_2,3987
2020-01-04,Category_3,2110
2020-01-04,Category_4,2053
2020-01-04,Category_5,5875
2020-01-04,Category_6,3027
2020-01-04,Category_7,3174
2020-01-04,Category_8,3178
2020-01-05,Category_1,4168
2020-01-05,Category_2,4080
2020-01-05,Category_3,2176
2020-01-05,Category_4,2084
2020-01-05,Category_5,6062
2020-01-05,Category_6,3153
2020-01-05,Category_7,3150
2020-01-05,Category_8,3058
2020-01-06,Category_1,3241
2020-01-06,Category_2,3089
2020-01-06,Category_3,1644
2020-01-06,Category_4,1592
2020-01-06,Category_5,4624
2020-01-06,Category_6,2388
2020-01-06,Category_7,2535
2020-01-06,Category_8,2498
2020-01-07,Category_1,3195
2020-01-07,Category_2,3235
2020-01-07,Category_3,1635
2020-01-07,Category_4,1556
2020-01-07,Category_5,4822
2020-01-07,Category_6,2401
2020-01-07,Category_7,2574
2020-01-07,Category_8,2480
2020-01-08,Category_1,3304
2020-01-08,Category_2,3115
2020-01-08,Category_3,1706
2020-01-08,Category_4,1637
2020-01-08,Category_5,4709
2020-01-08,Category_6,2381
2020-01-08,Category_7,2609
2020-01-08,Category_8,2515
2020-01-09,Category_1,3312
2020-01-09,Category_2,3202
2020-01-09,Category_3,1661
2020-01-09,Category_4,1651
2020-01-09,Category_5,4753
2020-01-09,Category_6,2611
2020-01-09,Category_7,2577
2020-01-09,Category_8,2480
2020-01-10,Category_1,3298
2020-01-10,Category_2,3185
2020-01-10,Category_3,1665
2020-01-10,Category_4,1649
2020-01-10,Category_5,4897
2020-01-10,Category_6,2536
2020-01-10,Category_7,2614
2020-01-10,Category_8,2501
2020-01-11,Category_1,4355
2020-01-11,Category_2,4204
2020-01-11,Category_3,2263
2020-01-11,Category_4,2143
2020-01-11,Category_5,6270
2020-01-11,Category_6,3247
2020-01-11,Category_7,3426
2020-01-11,Category_8,3175
2020-01-12,Category_1,4485
2020-01-12,Category_2,4254
2020-01-12,Category_3,2328
2020-01-12,Category_4,2163
2020-01-12,Category_5,6419
2020-01-12,Category_6,3309
2020-01-12,Category_7,3351
2020-01-12,Category_8,3218
2020-01-13,Category_1,3373
2020-01-13,Category_2,3281
2020-01-13,Category_3,1686
2020-01-13,Category_4,1635
2020-01-13,Category_5,4860
2020-01-13,Category_6,2520
2020-01-13,Category_7,2632
2020-01-13,Category_8,2518
2020-01-14,Category_1,3358
2020-01-14,Category_2,3415
2020-01-14,Category_3,1775
2020-01-14,Category_4,1734
2020-01-14,Category_5,4991
2020-01-14,Category_6,2536
2020-01-14,Category_7,2712
2020-01-14,Category_8,2524
2020-01-15,Category_1,3432
2020-01-15,Category_2,3333
2020-01-15,Category_3,1748
2020-01-15,Category_4,1632
2020-01-15,Category_5,4984
2020-01-15,Category_6,2547
2020-01-15,Category_7,2747
2020-01-15,Category_8,2602
2020-01-16,Category_1,3441
2020-01-16,Category_2,3394
2020-01-16,Category_3,1692
2020-01-16,Category_4,1618
2020-01-16,Category_5,5012
2020-01-16,Category_6,2549
2020-01-16,Category_7,2815
2020-01-16,Category_8,2588
2020-01-17,Category_1,3468
2020-01-17,Category_2,3398
2020-01-17,Category_3,1807
2020-01-17,Category_4,1615
2020-01-17,Category_5,5085
2020-01-17,Category_6,2502
2020-01-17,Category_7,2717
2020-01-17,Category_8,2634
2020-01-18,Category_1,4578
2020-01-18,Category_2,4359
2020-01-18,Category_3,2243
2020-01-18,Category_4,2276
2020-01-18,Category_5,6464
2020-01-18,Category_6,3447
2020-01-18,Category_7,3564
2020-01-18,Category_8,3470
2020-01-19,Category_1,4486
2020-01-19,Category_2,4489
2020-01-19,Category_3,2332
2020-01-19,Category_4,2234
2020-01-19,Category_5,6587
2020-01-19,Category_6,3458
2020-01-19,Category_7,3593
2020-01-19,Category_8,3453
2020-01-20,Category_1,3531
2020-01-20,Category_2,3480
2020-01-20,Category_3,1789
2020-01-20,Category_4,1732
2020-01-20,Category_5,5201
2020-01-20,Category_6,2672
2020-01-20,Category_7,2807
